Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
130,0.66,4.34e-11,5.52e-11,8.92e-11,9.61e-12,1.23e-11,1.65e-11,3.84e-11,5.23e-11,7.86e-11,8.05e-10,8.18e-10,8.48e-10
-20,0.68,5.08e-11,6.62e-11,1.16e-10,1.02e-11,1.33e-11,1.88e-11,5.11e-11,6.85e-11,9.33e-11,8.87e-10,8.99e-10,9.03e-10
-15,0.68,5.06e-11,6.58e-11,1.15e-10,1.01e-11,1.33e-11,1.87e-11,5.06e-11,6.8e-11,9.25e-11,8.83e-10,8.95e-10,9e-10
-10,0.68,5.03e-11,6.54e-11,1.14e-10,1.01e-11,1.32e-11,1.86e-11,5.01e-11,6.75e-11,9.17e-11,8.78e-10,8.91e-10,8.97e-10
-5,0.68,5.01e-11,6.5e-11,1.13e-10,1.01e-11,1.32e-11,1.85e-11,4.96e-11,6.7e-11,9.09e-11,8.74e-10,8.86e-10,8.94e-10
0,0.68,4.98e-11,6.46e-11,1.11e-10,1.01e-11,1.31e-11,1.84e-11,4.91e-11,6.65e-11,9e-11,8.7e-10,8.82e-10,8.91e-10
5,0.68,4.95e-11,6.41e-11,1.1e-10,1e-11,1.31e-11,1.83e-11,4.87e-11,6.6e-11,8.92e-11,8.65e-10,8.77e-10,8.87e-10
10,0.68,4.93e-11,6.37e-11,1.09e-10,1e-11,1.3e-11,1.82e-11,4.82e-11,6.54e-11,8.84e-11,8.61e-10,8.73e-10,8.84e-10
15,0.68,4.9e-11,6.33e-11,1.08e-10,9.97e-12,1.3e-11,1.81e-11,4.77e-11,6.48e-11,8.76e-11,8.56e-10,8.68e-10,8.8e-10
20,0.68,4.87e-11,6.28e-11,1.07e-10,9.95e-12,1.29e-11,1.8e-11,4.72e-11,6.41e-11,8.68e-11,8.51e-10,8.64e-10,8.77e-10
25,0.68,4.84e-11,6.24e-11,1.06e-10,9.92e-12,1.29e-11,1.79e-11,4.68e-11,6.35e-11,8.6e-11,8.47e-10,8.59e-10,8.73e-10
30,0.68,4.81e-11,6.19e-11,1.04e-10,9.89e-12,1.28e-11,1.77e-11,4.63e-11,6.29e-11,8.52e-11,8.42e-10,8.55e-10,8.69e-10
