Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
35,0.68,3.716e-11,4.652e-11,7.282e-11,8.017e-12,1.013e-11,1.33e-11,3.421e-11,4.483e-11,5.975e-11,5.659e-10,5.659e-10,5.697e-10
40,0.68,3.686e-11,4.613e-11,7.203e-11,7.995e-12,1.009e-11,1.323e-11,3.379e-11,4.426e-11,5.928e-11,5.648e-10,5.648e-10,5.694e-10
45,0.68,3.657e-11,4.573e-11,7.124e-11,7.973e-12,1.006e-11,1.316e-11,3.337e-11,4.37e-11,5.879e-11,5.637e-10,5.637e-10,5.689e-10
50,0.68,3.627e-11,4.532e-11,7.044e-11,7.951e-12,1.002e-11,1.309e-11,3.295e-11,4.312e-11,5.828e-11,5.626e-10,5.626e-10,5.684e-10
55,0.68,3.597e-11,4.491e-11,6.965e-11,7.928e-12,9.988e-12,1.302e-11,3.253e-11,4.253e-11,5.775e-11,5.614e-10,5.614e-10,5.679e-10
60,0.68,3.567e-11,4.449e-11,6.885e-11,7.907e-12,9.954e-12,1.294e-11,3.21e-11,4.194e-11,5.721e-11,5.601e-10,5.601e-10,5.673e-10
65,0.68,3.537e-11,4.408e-11,6.804e-11,7.885e-12,9.919e-12,1.287e-11,3.168e-11,4.134e-11,5.666e-11,5.588e-10,5.588e-10,5.666e-10
70,0.68,3.507e-11,4.366e-11,6.723e-11,7.863e-12,9.883e-12,1.28e-11,3.126e-11,4.073e-11,5.609e-11,5.576e-10,5.576e-10,5.66e-10
75,0.68,3.477e-11,4.324e-11,6.642e-11,7.841e-12,9.848e-12,1.272e-11,3.084e-11,4.013e-11,5.552e-11,5.562e-10,5.562e-10,5.652e-10
80,0.68,3.447e-11,4.282e-11,6.561e-11,7.82e-12,9.812e-12,1.265e-11,3.043e-11,3.952e-11,5.493e-11,5.548e-10,5.548e-10,5.645e-10
85,0.68,3.417e-11,4.24e-11,6.479e-11,7.798e-12,9.776e-12,1.258e-11,3.001e-11,3.89e-11,5.433e-11,5.534e-10,5.534e-10,5.636e-10
90,0.68,3.387e-11,4.198e-11,6.397e-11,7.776e-12,9.74e-12,1.25e-11,2.96e-11,3.83e-11,5.371e-11,5.52e-10,5.52e-10,5.628e-10
